City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,verkhnevilyuysk,63.4453,120.3167,7.19,84,100,3.13,RU,1696205443
280,dudinka,69.4058,86.1778,-14.07,100,89,1.79,RU,1696205444
281,bosaso,11.2842,49.1816,27.54,64,4,1.7,SO,1696205444
282,nova vicosa,-17.8919,-39.3719,22.82,74,40,5.28,BR,1696205444
283,hirara,24.8,125.2833,27.94,82,30,12.17,JP,1696205444
284,yorkton,51.2167,-102.4677,10.91,93,100,3.6,CA,1696205444
285,maumere,-8.6199,122.2111,27.19,71,67,0.71,ID,1696205444
286,la ronge,55.1001,-105.2842,6.39,90,100,2.37,CA,1696205444
287,maisi,43.0395,41.2621,14.54,88,97,2.03,GE,1696205444
288,arkhangel'sk,64.5401,40.5433,9.51,95,81,4.39,RU,1696205445
289,muktagacha,24.7667,90.2333,25.03,96,71,2.81,BD,1696205182
290,bridgewater,44.3835,-64.5155,12.28,92,0,0.89,CA,1696205445
291,tvoroyri,61.5556,-6.8111,10.59,90,66,11.46,FO,1696205445
292,nyurba,63.2842,118.3319,5.58,81,100,2.24,RU,1696205445
293,sterling,39.0062,-77.4286,22.51,74,0,0.0,US,1696205342
294,bardai,11.65,7.2333,22.32,85,99,2.62,NG,1696205445
295,nogliki,51.8333,143.1667,10.75,96,100,11.18,RU,1696205168
296,vilhena,-12.7406,-60.1458,24.62,75,95,1.15,BR,1696205445
297,venice,27.0998,-82.4543,27.01,89,20,9.77,US,1696205401
298,huntsville,34.7304,-86.5861,27.12,62,40,2.24,US,1696205119
299,huarmey,-10.0681,-78.1522,19.65,83,49,4.69,PE,1696205446
300,pajapan,18.25,-94.7,27.09,86,90,2.7,MX,1696205446
301,riberalta,-10.9833,-66.1,25.5,86,89,2.09,BO,1696205446
302,plettenberg bay,-34.0527,23.3716,13.49,76,0,2.64,ZA,1696205247
303,vredendal,-31.6683,18.5012,18.3,27,0,2.54,ZA,1696205446
304,illizi,26.4833,8.4667,27.33,34,0,5.71,DZ,1696205446
305,seka,17.9285,103.9552,24.28,94,74,1.02,TH,1696205446
306,anupgarh,29.1911,73.2086,28.81,19,0,2.8,IN,1696205447
307,alice springs,-23.7,133.8833,31.75,18,53,8.75,AU,1696205263
308,almeria,37.1667,-2.3333,18.76,44,0,1.4,ES,1696205447
309,tura,25.5198,90.2201,23.1,97,96,1.94,IN,1696205447
310,solnechnyy,50.7214,136.6319,7.24,96,100,4.62,RU,1696205447
311,alamos,27.0167,-108.9333,30.57,61,54,3.27,MX,1696205447
312,kapuskasing,49.4169,-82.4331,15.54,77,67,2.11,CA,1696205447
313,arica,-18.475,-70.3042,18.75,84,16,1.18,CL,1696205447
314,erenhot,43.6475,111.9767,14.68,32,100,2.84,CN,1696205448
315,saldanha,-33.0117,17.9442,14.61,75,1,4.71,ZA,1696205448
316,itaituba,-4.2761,-55.9836,33.09,29,81,0.98,BR,1696205448
317,bandarbeyla,9.4942,50.8122,25.56,88,32,6.32,SO,1696205448
318,bodo,67.28,14.405,7.02,94,100,3.09,NO,1696205448
319,karwar,14.8,74.1333,24.46,88,100,3.12,IN,1696205448
320,chubek,37.6137,69.7061,18.04,30,76,1.72,TJ,1696205448
321,alaghsas,17.0187,8.0168,28.55,37,3,4.25,NE,1696205449
322,hengchun,22.0042,120.7439,28.52,70,77,4.32,TW,1696205449
323,punta del este,-34.9667,-54.95,10.54,83,75,3.6,UY,1696205449
324,prince george,53.9166,-122.753,15.22,36,92,4.06,CA,1696205449
325,plastun,44.7561,136.2939,10.61,82,10,2.68,RU,1696205449
326,catia la mar,10.6038,-67.0303,29.99,89,70,2.98,VE,1696205449
327,albertina,-22.2008,-46.6158,18.74,96,79,1.15,BR,1696205449
328,cosio valtellino,46.1351,9.5516,20.49,78,18,1.35,IT,1696205449
329,willowmore,-33.2926,23.4895,9.06,88,1,2.33,ZA,1696205449
330,kamen'-na-obi,53.7884,81.3423,0.91,70,15,1.2,RU,1696205398
331,king city,36.2127,-121.126,22.16,38,39,2.93,US,1696205450
332,broome,42.2506,-75.833,18.9,86,41,1.96,US,1696205450
333,khodzha-maston,38.7446,68.627,7.68,38,4,2.87,TJ,1696205450
334,yuzhno-kurilsk,44.0306,145.8556,14.1,91,20,4.1,RU,1696205450
335,carauari,-4.8828,-66.8958,27.86,68,85,0.88,BR,1696205450
336,garachico,28.7781,-17.7646,22.06,78,40,4.12,ES,1696205450
337,saudarkrokur,65.7461,-19.6394,5.74,92,100,3.72,IS,1696205450
338,port saint john's,-31.6229,29.5448,16.42,66,97,3.58,ZA,1696205451
339,bilibino,68.0546,166.4372,-1.14,82,100,2.22,RU,1696205451
340,monrovia,6.3005,-10.7969,25.87,88,92,2.21,LR,1696205451
341,ingeniero guillermo n. juarez,-23.9,-61.85,24.21,34,64,2.99,AR,1696205451
342,shuangjiang,26.1547,109.7138,21.52,94,46,0.86,CN,1696205451
343,haiku-pauwela,20.9219,-156.3051,30.01,48,20,11.32,US,1696205451
344,harrismith,-28.2728,29.1295,3.74,86,1,2.5,ZA,1696205451
345,qom,34.6401,50.8764,21.21,19,40,1.65,IR,1696205452
346,shimoda,34.6667,138.95,24.2,71,74,5.91,JP,1696205179
347,santo antonio,-6.3106,-35.4789,21.02,86,8,2.96,BR,1696205452
348,gaspe,48.8334,-64.4819,11.83,75,9,2.86,CA,1696205294
349,laghouat,33.8,2.8651,21.47,41,0,1.22,DZ,1696205452
350,namibe,-15.1961,12.1522,18.64,82,0,3.47,AO,1696205452
351,lockwood,45.8191,-108.4149,13.01,74,100,4.12,US,1696205309
352,gorontalo,0.5412,123.0595,28.8,60,79,1.97,ID,1696205452
353,butembo,0.15,29.2833,14.93,94,89,0.87,CD,1696205452
354,mar del plata,-38.0023,-57.5575,10.61,88,5,1.79,AR,1696205452
355,taroa,8.7058,171.2275,28.55,76,85,6.31,MH,1696205453
356,okap,19.7578,-72.2042,28.74,82,100,6.82,HT,1696205453
357,arteche,12.2645,125.4048,28.97,75,92,4.83,PH,1696205453
358,punta umbria,37.1821,-6.9661,22.35,50,50,2.64,ES,1696205453
359,keetmanshoop,-26.5833,18.1333,19.93,24,0,4.25,NA,1696205453
360,san patricio,28.017,-97.5169,29.35,70,68,6.21,US,1696205453
